id,claim_text,label_claim,label_testable,all_agree,num_annotators,claim_votes,testable_votes,category,section,source_doc,contains_numeric,has_hedged_quantifier,has_universal_quantifier,model_is_subject,modal_verb_type,tense,verb_type
113,"As we noted in previous system cards, we introduced these Production Benchmarks to help us measure continuing progress given that our earlier Standard evaluations for these categories had become relatively saturated.",Not a claim,,True,4,Not a claim:4,,harmful_violent_content,Disallowed Content ,gpt5,False,False,False,False,none,past,internal_state
114,These evaluations were deliberately created to be difficult.,Claim,Not testable,False,4,"Claim:3,Not a claim:1",Not testable:3,harmful_violent_content,Disallowed Content ,gpt5,False,False,False,False,none,past,internal_state
115,"They were built around cases in which our existing models were not yet giving ideal responses, and this is",Claim,Not testable,False,4,"Claim:3,Not a claim:1",Not testable:3,harmful_violent_content,Disallowed Content ,gpt5,False,True,False,False,none,past,internal_state
116,Error rates are not representative of average production traffic.,Claim,Not testable,False,4,"Claim:3,Not a claim:1",Not testable:3,harmful_violent_content,Disallowed Content ,gpt5,False,False,False,False,none,present,other
117,"The primary metric is not_unsafe, checking that the model did not produce output that is disallowed under the relevant OpenAI policy.",Claim,Testable,False,4,"Claim:3,Not a claim:1","Testable:2,Not testable:1",harmful_violent_content,Disallowed Content ,gpt5,False,False,False,False,none,present,other
118,"Values from previously-launched models are from the latest versions of those models, and evals",Not a claim,,True,4,Not a claim:4,,harmful_violent_content,Disallowed Content ,gpt5,False,False,False,False,none,present,other
119,"For most categories, regressions are not statistically significant.",Claim,Not testable,False,4,"Claim:3,Not a claim:1",Not testable:3,harmful_violent_content,Disallowed Content ,gpt5,False,False,False,False,none,present,other
120,"* Upon investigation, we found that this evaluation score was caused by requests to translate text containing disallowed content, which do not in fact violate our policies.",Claim,Not testable,False,4,"Claim:3,Not a claim:1",Not testable:3,harmful_violent_content,Disallowed Content ,gpt5,False,False,False,False,none,past,aggregate_stat
121,"As with the GPT-5.4 Thinking system card, we also estimate rates of disallowed content on a production-like distribution of deidentified user traffic (in compliance with OpenAI’s privacy policy).",Not a claim,,False,4,"Not a claim:3,Claim:1",Not testable:1,harmful_violent_content,Disallowed Content ,gpt5,False,False,False,False,none,present,other
122,"We report the metric harm_overall, which represents our expected difference of biased answers for male vs female names based on the performance on this evaluation (i.e., performance on the evaluation divided by 10).",Claim,Testable,False,4,"Claim:3,Not a claim:1",Testable:3,fairness_bias,Bias Evaluation,gpt5,True,False,False,False,none,present,aggregate_stat
